Place,Category,Cost,Rating,Latitude,Longitude,Best_Season,User_Likes,Activities,Cluster
Beach Paradise,Family,200,4.5,19.8968,-155.5828,Winter,150,Snorkeling;Boating,0
Mountain Retreat,Adventure,150,4.7,28.3949,84.124,Spring,200,Hiking;Trekking,4
City Lights,Friends,300,4.0,40.7128,-74.006,Summer,300,Shopping;Nightlife,2
Safari Adventure,Family,250,4.3,-1.2864,36.8172,Summer,180,Wildlife Viewing;Photography,0
Cultural Escape,Friends,100,4.8,35.6895,139.6917,Autumn,500,Museums;Food,3
Romantic Getaway,Couple,400,4.9,48.8566,2.3522,Spring,350,Sightseeing;Fine Dining,1
Beach Getaway,Adventure,220,4.6,34.0522,-118.2437,Spring,230,Surfing;Hiking,4
Mountain Lodge,Family,180,4.4,36.7783,-119.4179,Winter,170,Skiing;Snowboarding,0
Urban Escape,Friends,350,4.2,51.5074,-0.1278,Autumn,320,Shopping;Theater,2
Desert Oasis,Adventure,120,4.1,27.1751,78.0421,Summer,110,Safari;Camping,4
Cultural Discovery,Family,250,4.7,41.8781,-87.6298,Autumn,200,Museums;History,0
Island Paradise,Couple,500,5.0,-33.8688,151.2093,Winter,400,Diving;Fine Dining,1
Alpine Adventure,Adventure,300,4.9,45.7553,7.6175,Summer,280,Skiing;Climbing,3
Beach Resort,Couple,450,4.8,30.7333,76.7794,Spring,390,Spa;Sightseeing,1
Jungle Safari,Family,350,4.6,-3.5247,38.0975,Winter,250,Wildlife Viewing;Photography,0
Historical Journey,Friends,200,4.3,48.8584,2.2945,Autumn,220,Sightseeing;Museums,0
Winter Wonderland,Family,250,4.5,37.7749,-122.4194,Winter,300,Skiing;Snowboarding,0
Tropical Escape,Couple,400,4.7,9.6011,-85.4139,Spring,330,Snorkeling;Beach,1
Nature Retreat,Adventure,130,4.2,36.7783,-119.4179,Spring,140,Hiking;Wildlife Viewing,4
Historical Escape,Friends,220,4.4,55.7558,37.6176,Autumn,250,Sightseeing;Food,0
Beach Adventure,Family,190,4.5,25.7617,-80.1918,Summer,200,Snorkeling;Boating,0
